dataset,classifier,metric,mean,std
LED-display-domain-7digit,DW-NB(w2-only),auc_roc,0.9319225602463114,0.04488750509411203
LED-display-domain-7digit,DW-NB(w2-only),balanced_accuracy,0.6953333333333334,0.09480584448307054
LED-display-domain-7digit,DW-NB(w2-only),brier_score,0.4818588096368185,0.15558553441003592
LED-display-domain-7digit,DW-NB(w2-only),ece,0.21698203203600835,0.0875416899443751
LED-display-domain-7digit,DW-NB(w2-only),geometric_mean,0.5527570437192894,0.3016467381241298
LED-display-domain-7digit,DW-NB(w2-only),log_loss,2.368694898806294,1.6777423227190549
LED-display-domain-7digit,DW-NB(w2-only),macro_f1,0.6837189477189477,0.09782727242040147
LED-display-domain-7digit,DW-NB(w2-only),mcc,0.6630495624749787,0.09611821465326102
LED-display-domain-7digit,DW-NB(w2-only),nb_knn_agreement_rate,0.792,0.10757942802103634
LED-display-domain-7digit,DW-NB(w2-only),predict_time_per_sample_ms,0.3388700000068638,0.08085906530250235
LED-display-domain-7digit,DW-NB(w2-only),selected_lambda,0.5,0.0
LED-display-domain-7digit,DW-NB(w2-only),weighted_f1,0.6840084138084138,0.09305330493250247
LED-display-domain-7digit,DW-NB(w3-only),accuracy,0.688,0.08283853102404835
LED-display-domain-7digit,DW-NB(w3-only),auc_roc,0.9323225616479316,0.04201895096771029
LED-display-domain-7digit,DW-NB(w3-only),balanced_accuracy,0.6900000000000001,0.0917322997357791
LED-display-domain-7digit,DW-NB(w3-only),brier_score,0.4907458135028935,0.155560447255378
LED-display-domain-7digit,DW-NB(w3-only),ece,0.22833265540838726,0.08657936703826856
LED-display-domain-7digit,DW-NB(w3-only),geometric_mean,0.5525625284122683,0.30000852934966654
LED-display-domain-7digit,DW-NB(w3-only),log_loss,2.44641108828354,1.6612543190304125
LED-display-domain-7digit,DW-NB(w3-only),macro_f1,0.6778595016095016,0.09741424089196801
LED-display-domain-7digit,DW-NB(w3-only),mcc,0.6582148926382666,0.0893562654612056
LED-display-domain-7digit,DW-NB(w3-only),nb_knn_agreement_rate,0.826,0.12473972903610142
LED-display-domain-7digit,DW-NB(w3-only),predict_time_per_sample_ms,0.33747120000043646,0.11658221683535207
LED-display-domain-7digit,DW-NB(w3-only),selected_lambda,0.5,0.0
LED-display-domain-7digit,DW-NB(w3-only),weighted_f1,0.6789807914307915,0.09055919746216845
LED-display-domain-7digit,GaussianNB,accuracy,0.6519999999999999,0.10962562555250377
