dataset,classifier,fold,metric,value,fit_time,predict_time
iris,MultinomialNB,7,predict_time_per_sample_ms,0.01992666666410514,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,8,accuracy,0.8666666666666667,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,macro_f1,0.8611111111111112,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,auc_roc,0.8333333333333334,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,log_loss,0.8137664257047938,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,brier_score,0.49078815115481506,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,ece,0.41991102936570335,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,balanced_accuracy,0.8666666666666667,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,geometric_mean,0.8896746200804664,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,mcc,0.8222264517930379,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,weighted_f1,0.8611111111111112,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,selected_lambda,,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,nb_knn_agreement_rate,,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,8,predict_time_per_sample_ms,0.01759999998588076,0.028916400000071008,0.0002639999997882114
iris,MultinomialNB,9,accuracy,0.8,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,macro_f1,0.7979797979797979,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,auc_roc,0.82,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,log_loss,0.8024498630925806,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,brier_score,0.4855856078093342,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,ece,0.3485085283950067,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,balanced_accuracy,0.8000000000000002,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,geometric_mean,0.8449489742783177,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,mcc,0.7047138579747255,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,weighted_f1,0.7979797979797979,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,selected_lambda,,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,nb_knn_agreement_rate,,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,9,predict_time_per_sample_ms,0.017426666666627472,0.008908799999971961,0.0002613999999994121
iris,MultinomialNB,10,accuracy,0.6666666666666666,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,macro_f1,0.6336996336996337,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,auc_roc,0.8333333333333334,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,log_loss,0.8132650940338358,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,brier_score,0.49491278158034874,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,ece,0.22127858657177782,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,balanced_accuracy,0.6666666666666666,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,geometric_mean,0.7056947972464931,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,mcc,0.5330017908890261,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,weighted_f1,0.6336996336996337,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,selected_lambda,,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,nb_knn_agreement_rate,,0.01390129999981582,0.00027940000018134015
iris,MultinomialNB,10,predict_time_per_sample_ms,0.01862666667875601,0.01390129999981582,0.00027940000018134015
iris,BernoulliNB,1,accuracy,0.7333333333333333,0.4537000000000262,0.000923899999634159
iris,BernoulliNB,1,macro_f1,0.6825396825396824,0.4537000000000262,0.000923899999634159
